Maturity,Today,6M_Ago,1Y_Ago,Apr2000,Jan2007,Jul2023
001-M,4.18,4.38,4.9,,4.938095238095237,5.387
003-M,4.02,4.33,4.68,5.821578947368422,5.105238095238095,5.4885
006-M,3.82,4.26,4.38,6.069473684210527,5.148571428571429,5.531999999999999
01-Y,3.63,4.04,3.96,6.150526315789473,5.057142857142858,5.370000000000001
02-Y,3.57,3.89,3.6,6.403684210526315,4.876190476190477,4.8285
03-Y,3.6,3.91,3.54,6.356315789473684,4.794285714285714,4.4719999999999995
05-Y,3.7,3.98,3.55,6.262631578947369,4.752857142857143,4.141500000000001
07-Y,3.91,4.11,3.65,6.265789473684211,4.7523809523809515,4.028999999999999
10-Y,4.16,4.27,3.79,5.990526315789474,4.7595238095238095,3.8994999999999997
20-Y,4.73,4.65,4.17,6.184736842105264,4.945714285714286,4.149500000000001
30-Y,4.76,4.64,4.12,5.846315789473684,4.851904761904763,3.9590000000000005
